course_name,course_type,course_format,course_duration,ucas_code,start_date
"Accommodation and Presbyopia - Standalone module -
Professional courses/CPD",Online / distance learning, No placements,16 weeks,n/a,October 2022
"Business Analytics BSc -
Undergraduate degrees",Full-time (Hons), Placement year (UK/abroad),4 year with integrated placement year / 3 year course without integrated placement year option only available for non-UK/EU students,NG12,September 2022
"Business Analytics MSc -
Postgraduate MA/MSc courses",Full-time,,1 Year,N/A,September 2022
"Business and International Relations BSc -
Undergraduate degrees",Full-time (Hons), Placement year (UK/abroad), with integrated placement year /,LN21,September 2022
"Business and Management MSc -
Postgraduate MA/MSc courses",Full-time (Hons),,1 Year,N/A,September 2022
"Business and Management BSc -
Undergraduate degrees",Full-time, Placement year (UK/abroad),4 year with integrated placement year / 3 year course without integrated placement year option only available for non-UK/EU students,NN12,September 2022
"Business Analytics MSc -
Postgraduate MA/MSc courses",Full-time,,1 year,N/A,September 2022
"Business and Management MSc -
Postgraduate MA/MSc courses",Full-time (Hons),,1 Year,N/A,September 2022
"Biomedical Sciences top-up modules -
Professional courses/CPD","Part-time, Online / distance learning", No placements,1 year,n/a,September 2022
"Biosciences MRes -
Postgraduate MA/MSc courses",Full-time, No placements,1 Year,N/A,September 2022
"Biomedical Science BSc -
Undergraduate degrees",Full-time (Hons), Optional placement year,3 years / 4 years (with placement year),C900,September 2022
"Artificial Intelligence with Business Strategy MSc -
Postgraduate MA/MSc courses",Full-time, No placements,12 months full-time,n/a,September 2022
"Vestibular Rehabilitation- Standalone module -
Professional courses/CPD",Online / distance learning, No placements,Varies,n/a,October 2022
"Biological Sciences BSc -
Undergraduate degrees",Full-time (Hons), Optional placement year,BSc 3 years or 4 years with placement year / MBiol (optional) 4 years or 5 years with placement year, C112,September 2022
"Biochemistry BSc -
Undergraduate degrees",Full-time (Hons), Placement year (UK/abroad),4 years (with integrated placement year),C700,September 2022
"Biomedical Engineering BEng/MEng -
Undergraduate degrees",Full-time (Hons), No placements,BEng 3 years / MEng 4 years,H542 (BEng) / H541 (MEng),September 2022
"Work Psychology and Business MSc -
Postgraduate MA/MSc courses",Full-time,,1 Year,N/A,September 2022
"Transport Planning BSc Degree Apprenticeship -
Degree apprenticeships",Work-based degree (Hons), No placements,5 years,n/a,September 2022
"Underlying Principles - Standalone module -
Professional courses/CPD",Online / distance learning, No placements,10 weeks,n/a,March 2022
"Transport Management BSc -
Undergraduate degrees",Full-time (Hons), Placement year (UK/abroad),4 years,N921,September 2022
"Translating for Business and International Institutions MA -
Postgraduate MA/MSc courses",Full-time,,12 months full time,,September 2022
"The Dementias and Related Disorders - Standalone module -
Professional courses/CPD",Online / distance learning, No placements,10 weeks,n/a,November 2022
"Tinnitus Management - Standalone module -
Professional courses/CPD",Online / distance learning, No placements,20 weeks,,October 2022
"The Aston Executive Leadership Apprenticeship -
Degree apprenticeships",, Work-based learning,2 years,,September 2022
"The Affective Disorders - Standalone module -
Professional courses/CPD",Online / distance learning, No placements,10 weeks,n/a,July 2022
"TESOL (Teaching English to Speakers of Other Languages) and Translation Studies MA -
Postgraduate MA/MSc courses",Full-time,,12 months full-time,N/A,September 2022
"Teaching English to Speakers of Other Languages (TESOL) MA (Distance Learning) -
Postgraduate MA/MSc courses",Online / distance learning, No placements,"12 months full-time, 24/36 months part-time",,September 2022
"Teaching English to Speakers of Other Languages (TESOL) MA -
Postgraduate MA/MSc courses",Full-time / Part-time, No placements,"12 months full-time, 24/36 months part-time",,September 2022
"Teaching English to Speakers of Other Languages (TESOL) MA -
Postgraduate MA/MSc courses",Full-time / Part-time, No placements,"12 months full-time, 24/36 months part-time",,September 2022
"Sustainable Engineering MSc -
Postgraduate MA/MSc courses",Full-time,,12 months,,September 2022
"Supply Chain Management (Professional Practice) BSc Degree Apprenticeship -
Degree apprenticeships",Work-based degree (Hons), No placements,4 years,n/a,August 2022
"Sustainable Engineering (including Professional Practice) MSc -
Postgraduate MA/MSc courses",Full-time, Integrated placements,22 months,,September 2022
"Supply Chain Management MSc -
Postgraduate MA/MSc courses",Full-time,,12 months full-time,N/A,September 2022
"Supply Chain Leadership & Management -
Degree apprenticeships",Work-based degree, No placements,2 years,N/A,November 2022
"Supply Chain Management MSc -
Postgraduate MA/MSc courses",Full-time,,12 months full-time,N/A,September 2022
"Strategy and Leadership MSc -
Postgraduate MA/MSc courses",Full-time,,1 Year,N/A,September 2022
"Strategy and International Business MSc -
Postgraduate MA/MSc courses",Full-time,,1 Year,N/A,September 2022
"Strategy and Entrepreneurship MSc -
Postgraduate MA/MSc courses",Full-time,,1 Year,N/A,September 2022
"Strategy and Analytics MSc -
Postgraduate MA/MSc courses",Full-time,,1 Year,N/A,September 2022
"Strategic Marketing Management MSc -
Postgraduate MA/MSc courses",Full-time,,1 Year,N/A,September 2022
"Strategic Marketing Management MSc -
Postgraduate MA/MSc courses",Full-time,,1 Year,N/A,September 2022
"Stem Cells and Regenerative Medicine MSc -
Postgraduate MA/MSc courses",Full-time, No placements,1 Year,N/A,September 2022
"Strategic Digital Marketing MSc -
Postgraduate MA/MSc courses",Full-time,,1 Year (Full-time),N/A,September 2022
"Strategic Digital Marketing MSc -
Postgraduate MA/MSc courses",Full-time,,1 Year (Full-time),N/A,September 2022
"Sociology BSc -
Undergraduate degrees",Full-time (Hons), Placement year (UK/abroad), with integrated placement year /,L300,September 2022
"Sociology and Social Policy BSc -
Undergraduate degrees",Full-time (Hons), Placement year (UK/abroad), with integrated placement year /,LL24,September 2022
"Sociology and English Language BSc -
Undergraduate degrees",Full-time (Hons), Placement year (UK/abroad), with integrated placement year /,LQ33,September 2022
"Skills Bootcamp in Software Engineering -
Professional courses/CPD",Professional short courses/CPD, No placements,12 weeks,n/a,September 2022
"Business Analytics MSc (Online) -
Online courses",,,,,
"Science Industry Process/Plant Engineer BEng Degree Apprenticeship -
Degree apprenticeships",Work-based degree (Hons), No placements,4 or 5 years,n/a,September 2022
"Schizophrenia - Standalone module -
Professional courses/CPD",Online / distance learning, No placements,10 weeks,n/a,May 2022
"Retinal and Macular Disorders - Standalone module -
Professional courses/CPD","Part-time, Online / distance learning", No placements,16 weeks,n/a,March 2023
"Research Scientist MRes Degree Apprenticeship -
Degree apprenticeships",Work-based degree, No placements,3 years PT,,September 2022
"Refractive Surgery 2 - Standalone module -
Professional courses/CPD",Part-time / distance learning, No placements,4 months,n/a,October 2022
"Refractive Surgery - Standalone module -
Professional courses/CPD",Online / distance learning, No placements,16 weeks,n/a,October 2022
"Quantity Surveying BSc -
Undergraduate degrees",Full-time (Hons), Placement year (UK/abroad),4 years,K240,September 2022
"Psychology BSc -
Undergraduate degrees",Full-time (Hons), Placement year (UK/abroad),3 years (no placement) / 4 years (integrated placement),C800 (3 year - no placement) / C801 (4 year - integrated placement),September 2022
